method,dataset,category,seed,noise,run_id,Image-AUROC,Image-AP,Pixel-AUROC,Pixel-AP,PRO
GLASS,mvtec,bottle,2,0.0,20251024-115053,99.21,99.76,95.43,72.16,93.1
GLASS,mvtec,cable,2,0.0,20251024-115053,91.51,95.43,94.88,48.35,86.9
GLASS,mvtec,capsule,2,0.0,20251024-115053,96.01,99.22,96.85,33.43,92.57
GLASS,mvtec,carpet,2,0.0,20251024-115053,99.6,99.87,99.57,80.72,98.76
GLASS,mvtec,grid,2,0.0,20251024-115053,100.0,100.0,99.29,45.44,96.76
GLASS,mvtec,hazelnut,2,0.0,20251024-115053,100.0,100.0,98.92,64.04,87.35
GLASS,mvtec,leather,2,0.0,20251024-115053,100.0,100.0,99.83,76.85,99.52
GLASS,mvtec,metal_nut,2,0.0,20251024-115053,99.9,99.98,98.54,86.64,94.25
GLASS,mvtec,pill,2,0.0,20251024-115053,94.54,99.0,96.88,74.75,96.32
GLASS,mvtec,screw,2,0.0,20251024-115053,92.81,97.62,97.93,29.68,92.49
GLASS,mvtec,tile,2,0.0,20251024-115053,100.0,100.0,99.65,96.57,96.68
GLASS,mvtec,toothbrush,2,0.0,20251024-115053,100.0,100.0,97.71,46.36,91.95
GLASS,mvtec,transistor,2,0.0,20251024-115053,99.21,98.99,94.62,60.9,90.97
GLASS,mvtec,wood,2,0.0,20251024-115053,100.0,100.0,98.68,83.48,95.98
GLASS,mvtec,zipper,2,0.0,20251024-115053,99.89,99.97,99.61,82.32,98.84
